2015-12-22-11:20:52	tcp server listen 0.0.0.0:9000 
2015-12-22-11:26:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:32	current conn:0, QPS:0, read flux:0, write flux:0
0./monitor.sh
1-daemon
2015-12-22-11:26:33	tcp server bind error :Address already in use 
2015-12-22-11:26:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:26:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:27:53	current conn:0, QPS:0, read flux:0, write flux:0
